2015-08-09 12:22:19,339 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: tr.org.lkd.lyk2015:sampleservlet:0.0.1-SNAPSHOT @ /home/wanqcrypt/workspace/sampleservlet-lyk2015/pom.xml.
2015-08-09 12:22:20,899 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2015-08-09 12:22:24,180 [Worker-1] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/tmp/RemoteBundleDiscoveryStrategy346120767530223129.tmp/org.eclipse.m2e.discovery.oss_catalog_1.6.jar_1388561583945732809.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-egit.xml
2015-08-09 12:22:24,180 [Worker-1] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2015-08-09 12:22:24,185 [Worker-1] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/tmp/RemoteBundleDiscoveryStrategy346120767530223129.tmp/org.eclipse.m2e.discovery.oss_catalog_1.6.jar_1388561583945732809.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive.xml
2015-08-09 12:22:24,186 [Worker-1] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2015-08-09 12:22:25,626 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 12:22:25,627 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/main/resources
2015-08-09 12:22:25,629 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 12:22:25,630 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/test/resources
2015-08-09 12:24:22,212 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 12:24:22,215 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/main/resources
2015-08-09 12:24:22,217 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 12:24:22,218 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/test/resources
