127.0.0.1 - - [10/Aug/2015:10:25:18 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:25:19 +0300] "GET /sampleservlet/update HTTP/1.1" 500 1589
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:25:19 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:25:19 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:26:00 +0300] "GET /sampleservlet/todo HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:26:13 +0300] "GET /sampleservlet/Storage HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:26:17 +0300] "GET /sampleservlet/list HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:26:20 +0300] "GET /sampleservlet/init HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:26:43 +0300] "GET /sampleservlet/init HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:26:54 +0300] "GET /sampleservlet/list HTTP/1.1" 200 8072
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:27:27 +0300] "POST /sampleservlet/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:27:27 +0300] "GET /sampleservlet/list HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:27:36 +0300] "POST /sampleservlet/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:27:36 +0300] "GET /sampleservlet/list HTTP/1.1" 200 8108
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:28:24 +0300] "GET /sampleservlet/update?id=100 HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:29:24 +0300] "GET /sampleservlet/todo HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:29:56 +0300] "GET /sampleservlet/list HTTP/1.1" 200 8108
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:30:13 +0300] "GET /sampleservlet/update?id=100 HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:30:54 +0300] "GET /sampleservlet/update?id=100 HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:45:16 +0300] "GET /sampleservlet/update?id=100 HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:52:09 +0300] "GET /sampleservlet/list HTTP/1.1" 200 8108
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:58:57 +0300] "GET /sampleservlet/ltodo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [10/Aug/2015:10:59:03 +0300] "GET /sampleservlet/todo HTTP/1.1" 200 259
